Cell,Drug,IC50,IC50_Predict_model=2,IC50_Predict_model=-1
908145,Belinostat,-0.966223614,-0.782288543,-0.619730109
1298169,Lenalidomide,4.076559465,4.152257389,4.166499309
905989,Vismodegib,5.13780227,4.447079563,4.489819572
1660034,RO-3306,2.435038046,3.195817079,3.2674622
1298538,I-BET-762,5.989737062,4.817404869,4.748485116
909255,Omipalisib,-6.133048701,-5.102155367,-4.501810787
910850,BIX02189,5.863258618,5.805823976,5.53508526
687815,KIN001-266,4.997284312,4.130578984,3.230162365
1327774,Refametinib,2.930647252,2.38206495,2.434506728
1290767,HG-5-88-01,2.331670575,3.311335097,3.155519462
687983,OSI-930,4.602699178,4.291545921,4.823616596
907794,Talazoparib,2.779526275,3.035196739,1.996217083
906841,OSI-930,3.752018375,3.963606903,4.333718749
753570,BAY-61-3606,4.726028526,3.52895186,2.419463532
949176,EHT-1864,2.445289802,3.370569048,3.257053727
910905,ZG-10,0.289012823,3.961412362,3.623256714
908148,CUDC-101,-1.65418251,-1.58410862,-1.773171043
1298357,SB52334,3.632581182,3.288198333,4.445082024
905938,GSK319347A,3.878536121,3.643085209,3.687931329
905949,HG-5-113-01,0.814189016,0.971262448,0.737861764
949157,QL-X-138,1.842102868,1.041587872,1.035540478
906800,PFI-1,0.578834027,1.174492731,1.487397273
688086,Nilotinib,2.977662613,2.759114386,2.285316721
753592,NVP-TAE684,-0.613552526,-0.502796717,-0.022884476
909249,TAK-715,2.824403345,2.730538431,2.701248401
909754,T0901317,5.360602021,5.820902789,5.808876044
946358,BMS-754807,1.76180584,0.923026383,1.600183782
908159,Embelin,2.156289033,2.136854789,2.517579726
1290808,Vorinostat,0.999466751,1.409085747,1.805824892
949175,PD173074,3.514915048,2.515152073,2.931590261
908158,BMS-509744,1.761534408,1.963099134,2.306747276
910702,OSI-930,6.32572003,5.321723708,5.299400746
906814,LFM-A13,3.544521952,4.828142745,4.361216594
735784,SL0101,4.915286232,4.766568098,4.313534077
1290905,PIK-93,4.7838557,4.230688787,3.35320628
1290807,Tanespimycin,1.176687518,0.178930311,0.219187275
1298539,NSC-207895,4.46045929,4.078735583,4.129956534
907312,Palbociclib,1.004337779,-0.003974426,0.418876544
753565,A-770041,-0.099670213,1.746959401,0.642755757
687563,PF-4708671,2.8976886,3.127335792,3.200094396
905936,GSK1904529A,2.238014454,1.883152141,2.013479998
1330983,Selumetinib,3.452137014,2.611807942,2.604532351
1330948,Gefitinib,0.316245009,-0.158397655,-0.189322168
949165,Nilotinib,3.025644564,2.501130737,2.745565906
1298352,XMD8-85,3.69694973,3.292653492,3.099008423
910401,SGC0946,0.920358617,1.145200491,1.475508823
1299059,Fedratinib,3.444539391,3.524277589,3.183584488
1298141,KIN001-244,5.330985291,5.412153602,5.224916525
908471,Dacinostat,-2.365831474,-1.830225436,-2.60844535
905967,NSC-87877,6.262684075,5.478711288,5.207344719
753535,PAC-1,2.362010713,1.937772249,1.806330295
905971,JW-7-24-1,2.642313394,2.660621136,2.558520182
753612,CI-1040,4.482501732,4.025605278,4.087643692
917486,A-443654,-0.417396655,-0.554626485,-1.156204236
687596,GSK690693,4.528927558,4.447958952,4.341632019
753612,Tubastatin A,4.689030336,3.38077708,3.209312256
949170,GSK1070916,1.546786713,1.643946142,1.992564672
722058,BMS-345541,3.377656724,3.163142632,3.440465463
910549,VX-11e,2.306278842,2.982652284,3.287753234
908476,PFI-1,2.818122349,4.084379637,2.607938631
907788,AZ628,3.485263929,3.074974584,2.452424887
1322224,HG6-64-1,1.010709662,1.975704114,2.488179651
688031,Luminespib,1.01963558,0.00762331,-1.608485004
908460,PF-562271,2.774399783,2.449188343,2.914019683
906827,Lenalidomide,4.404785144,4.032182025,3.968364691
908159,RO-3306,3.267378192,3.137053037,2.941517036
924106,AS601245,4.346314395,2.342009533,2.524010563
909726,XMD11-85h,2.784520121,3.654228144,3.729684359
909725,Elesclomol,-4.064683261,-3.237150153,-2.135456329
753595,CGP-60474,-3.157170737,-3.205265682,-3.005440083
1297439,Lestauritinib,0.707143711,2.083332444,1.00557752
910692,SGC0946,1.929028473,1.616040044,1.920631785
946367,Entinostat,1.463992761,2.552350951,0.857081321
908463,OSI-027,0.565771543,2.092229622,2.505797638
949165,PLX-4720,2.951167959,3.109594985,2.760675915
905959,CAY10603,-0.188354595,0.108178088,0.492006432
1240172,WHI-P97,4.733058723,4.970102851,5.069286839
753545,NG-25,1.959703907,2.606850941,2.653703197
687800,PF-4708671,4.489255584,4.741274375,4.715990477
753562,SB590885,3.51866596,3.389746353,3.157069446
925343,Bexarotene,1.304912457,2.218872275,3.21585707
906853,CCT007093,5.119924642,4.200360931,4.465011477
908445,Trametinib,-1.034166828,-3.513216785,-2.95714273
1503365,Belinostat,-0.744822164,-0.55582545,-0.624850828
909717,AZ628,-0.090779913,0.913050971,1.098936418
910545,XMD14-99,2.888415717,2.772269107,2.392360184
753532,Dasatinib,-1.485688079,-0.131307694,-1.539368002
724812,Serdemetan,2.625498156,1.906150611,2.467253885
1297439,IOX2,0.777605342,0.527183207,0.700348346
753572,Fedratinib,4.742709891,1.734885984,2.522588803
909774,PD0325901,-4.074174149,-3.986149493,-3.181508309
910209,MK-2206,0.771202754,-0.511419638,0.072775817
1240218,ZM447439,3.599838692,2.543104842,2.603879933
909257,T0901317,4.044240703,3.601405625,3.785715664
910924,SB52334,4.118878202,3.973136725,4.374489467
1298350,NSC-87877,5.482981973,4.813238581,5.037607476
907072,Talazoparib,0.652845146,1.140184413,1.992775799
924105,Alectinib,2.551268418,2.535197222,3.247998725
906800,QS11,1.236575605,1.282210842,1.081037297
1240205,LFM-A13,3.547217843,4.758169199,4.725090675
907175,IPA-3,5.904992734,5.167028678,4.741575037
909723,NSC-87877,4.392401239,4.441562259,4.77000582
1290798,Ruxolitinib,4.010384239,4.245477992,4.498095159
1240136,SNX-2112,2.671314797,1.988334395,1.360264692
946368,QL-XI-92,5.357094292,5.280490205,4.600492109
908145,Elesclomol,-5.874858776,-4.526258529,-4.110758007
908472,Obatoclax Mesylate,2.380886864,2.276783827,0.482352685
906821,QL-XII-47,1.322021847,1.157196531,1.332207281
1290908,Lenalidomide,4.427406066,4.093800641,4.002743875
753586,Pazopanib,0.400355587,1.984556463,2.611510472
1322213,KIN001-244,3.20162915,3.307735745,3.101862997
753577,Talazoparib,0.14847153,1.193335352,0.789898115
687514,LFM-A13,5.289673675,4.648655588,4.681456294
907789,Zibotentan,4.740060671,4.661323698,4.444769571
1298476,SB-505124,6.003491634,5.011650281,4.993692575
1298151,VX-11e,0.73870529,1.81881528,2.277702395
753566,CAY10603,2.684910932,1.727246602,2.228278786
906836,IPA-3,2.249709341,2.934165298,2.488787608
949155,TAK-715,2.901634795,2.979496064,3.007307345
924188,Ruxolitinib,3.95242442,4.577662394,3.861991086
905942,Pelitinib,3.038486586,2.277667268,2.524451486
910935,KIN001-266,2.132073912,2.189668465,1.764927546
713869,NU7441,2.179460188,2.290525257,2.503670401
1240127,CHIR-99021,3.746753097,3.908811655,4.022518329
906832,AICA Ribonucleotide,5.171792607,6.850026292,6.8246181
906861,NVP-TAE684,-0.044300046,-0.843719859,-0.131566353
1290906,Pazopanib,1.958304992,3.024834691,3.258616975
910850,FTI-277,2.599496009,2.347105075,2.162324145
687995,AZD7762,0.044361,-0.828889633,-0.924541819
909758,Dactolisib,-4.121765227,-3.481789141,-3.109412501
688018,Cetuximab,7.092577653,6.703602429,6.432992183
1240161,BMS-754807,-1.517343001,-0.821643519,0.086079518
1240172,NG-25,3.554305765,3.734469658,3.816215467
1297449,XMD13-2,1.374917199,1.785868419,2.479605857
907318,AR-42,-1.131657378,-0.419573019,-0.730974126
687802,QS11,2.657438633,5.450084976,4.590174277
905952,Bexarotene,2.050756252,2.282544191,2.899287466
753612,AS601245,2.602837931,2.747472558,2.292543061
749716,Entinostat,-0.094883317,0.636498465,1.186099924
910689,Alectinib,4.66889037,4.706659377,4.67078818
907055,JW-7-24-1,0.927224849,0.132904999,-0.060363996
906855,BMS-536924,2.583883175,1.822734947,2.025815144
1240222,Palbociclib,0.522484373,0.309154385,2.207387165
1524419,QL-X-138,-1.297474341,-0.532212513,0.09814532
907314,SN-38,-3.918661448,-3.028458449,-2.452571621
908460,Cabozantinib,4.972891103,4.32963647,4.166219526
906862,CAY10603,-0.193996316,-0.48940655,0.013262574
753565,NSC-207895,5.633055299,3.775707092,4.496828889
910697,Nilotinib,3.272966486,2.753586765,3.048778872
905960,FMK,5.634369469,5.031057504,5.070516263
910911,HG-5-88-01,2.460002367,2.632499367,3.351925762
910910,Entinostat,4.279269606,2.285982895,1.863282747
908471,NSC-87877,4.887145795,4.596062005,4.449534482
687983,Linifanib,3.039497392,2.659543271,2.694486197
924247,SL0101,3.877247743,3.746745482,3.604286729
688001,NVP-BHG712,3.069766294,3.181832589,2.872134499
909731,QS11,1.696134175,2.163748607,2.215533178
949153,FTI-277,1.908027541,1.319618758,1.638152862
1330982,Tipifarnib,1.835983993,-0.034608594,0.049805841
946359,Omipalisib,-5.018548534,-4.635495612,-3.952692561
1298353,KU-55933,5.171725056,5.072139694,4.452501805
1327771,Nutlin-3a (-),3.398937684,2.248786474,2.949463222
907065,Selumetinib,3.17656903,2.785519873,3.617752675
687590,Vorinostat,2.435574768,1.910557872,1.833040129
910933,CP724714,3.312949193,4.015125815,4.11778044
1290798,Afatinib,-3.344530879,1.814599987,1.235585679
908476,PD0325901,2.033733449,1.719463275,0.004933806
949168,PHA-665752,3.081911928,2.597082603,3.164207232
910948,Motesanib,1.856819118,2.023138535,2.625965853
1240160,Ponatinib,-1.417771271,-0.582123716,-0.177027431
1299070,Obatoclax Mesylate,-2.987572772,-3.210208559,-2.142381392
908148,VX-702,1.748070918,2.028786274,2.214442908
749717,Vorinostat,2.57674981,2.0914873,1.777071093
906693,EHT-1864,4.508388428,4.505716855,4.517351806
1290907,FMK,5.185813698,4.958434493,4.897298067
910566,Olaparib,2.874184604,3.046577944,2.767402502
1331033,Talazoparib,3.396433391,2.237492225,2.711909392
907173,Linsitinib,1.725373848,1.801363346,2.125405296
910784,Ponatinib,-4.258522139,-3.800064894,-1.585703925
1330964,Motesanib,2.743430809,2.115002227,2.897722498
753583,CP724714,4.280572723,4.492779771,4.585891801
688023,GW-2580,5.238778442,5.380842944,5.160044662
908445,GSK1904529A,2.80270357,2.513290864,1.900547334
949165,WZ-1-84,0.962324248,2.858307709,1.763675646
906847,Cetuximab,6.82371685,6.742317146,6.505180167
1331038,CP724714,2.484988796,3.645958943,4.17524112
1298531,Obatoclax Mesylate,-3.437863985,-3.315912182,-3.195155906
906852,WZ3105,-0.495104031,0.436495514,0.033015167
910952,QL-X-138,3.364707849,2.605208351,2.697280835
753562,HG-5-88-01,2.936439427,2.731355181,4.074814198
1240162,Enzastaurin,2.485832567,4.577319972,4.164971187
908474,Masitinib,1.3406149,2.485374204,2.487854547
1298352,Pictilisib,4.175506656,4.334978387,3.087834537
909262,AR-42,-1.452952959,-1.265468032,-1.051008595
910947,FH535,1.059929021,1.286032621,1.846171391
1240215,NG-25,5.319694481,2.648295693,2.11853452
1240197,NG-25,4.961743991,3.508036656,3.499297056
687995,SGC0946,1.471430719,1.55745581,1.362483675
905979,Ponatinib,0.131562949,0.738074734,0.295766552
1298347,NU7441,1.316760254,2.52044953,2.574477647
1298529,CAY10603,6.271114415,3.008905966,2.562284358
907314,FR-180204,4.884163734,4.958956231,4.987250193
949088,Nilotinib,2.586452562,2.566918098,2.302870719
907295,Y-39983,5.990039198,5.769714017,5.53672785
907271,IPA-3,5.932980875,3.815145462,4.873917382
1240200,DMOG,8.621832089,6.527696692,6.358116168
1331048,PD173074,2.623049132,2.394649542,2.409290135
949158,SN-38,-6.87419572,-6.831272556,-6.868336455
1240196,Talazoparib,2.893450094,1.054371678,1.772492377
687568,JQ1,0.524959189,-0.439806942,-0.548913529
909696,Serdemetan,2.42205601,2.512873278,2.349022781
908443,SB-505124,4.951409946,4.100880702,3.949138503
1240184,Cetuximab,6.775334506,6.287689909,5.469201854
687829,Fedratinib,2.627275357,2.723830513,2.538102152
1240198,PHA-793887,0.905342687,1.265438345,2.261144587
1247871,Dacinostat,-4.996013892,-4.301365808,-3.935406003
687592,T0901317,4.737967824,3.876583289,3.957403529
722045,OSI-930,3.9137915,4.144808132,4.54674746
687568,PFI-1,4.802337601,2.802198044,2.463690641
1240183,Olaparib,3.451642051,4.211698413,4.28971468
908458,BI-2536,1.750382384,0.635702348,-0.290050982
1290798,JNK-9L,-2.634711928,-1.086561075,-0.676817294
908476,PLX-4720,4.230830766,4.798073303,4.694165917
1240151,Belinostat,-0.889377817,-1.000844752,-1.184514656
1659817,Nilotinib,2.705712895,2.187423568,2.258119048
749717,ZSTK474,1.493841006,0.959222438,1.153056526
1240131,Motesanib,2.66125464,3.224335801,2.926820929
753588,Vorinostat,0.769647243,0.489358318,0.415286158
908130,CP724714,4.772686482,4.769901915,4.352505733
684681,NU7441,2.702444665,2.697760815,2.672852745
1240145,Navitoclax,2.750602248,1.581033497,1.807540191
909904,YM201636,4.0133663,3.730065837,3.529499881
905991,Alectinib,3.78086871,3.676165698,3.671715943
753556,DMOG,7.947897354,6.172724825,7.424060018
1330982,Saracatinib,0.967059559,0.794753298,1.308332247
910952,OSI-027,3.073385789,1.550609966,2.337749165
906838,Dactolisib,-3.406948437,-3.607870018,-2.647768639
753548,XMD14-99,2.71467136,2.733591727,2.498165134
753541,FH535,1.349674691,1.481520476,0.94499501
910924,Dabrafenib,4.668112922,3.936298937,3.243304558
906837,CCT-018159,1.934610625,2.516108838,2.158784729
907064,Zibotentan,5.191420415,5.143582899,5.04337042
907043,OSI-027,2.106473385,2.053714732,1.721212227
1290908,DMOG,5.588501244,5.008650288,4.555068246
1240123,Bicalutamide,2.361388017,2.396238337,2.62400123
753570,PAC-1,3.273047547,3.374780288,2.757691889
1240134,AS605240,1.373096397,2.86969137,2.524531564
1330941,Dacinostat,-3.340041821,-3.432024279,-2.830599315
906872,Masitinib,2.472134492,3.070625049,2.957452886
909745,HG6-64-1,0.555110798,0.401752906,1.878460185
1240218,Masitinib,3.377350903,4.868967504,4.476702434
687506,Dacinostat,-2.49477982,-2.403978028,-2.615379256
687804,XMD11-85h,4.410341505,3.836861695,3.749239703
905958,Lapatinib,1.698995872,2.291474162,2.422115454
930298,YM201636,4.997112365,4.94169221,4.616510493
910567,AICA Ribonucleotide,5.490023223,8.224617141,7.437484451
1290767,BIX02189,4.183726975,4.669561457,4.43474454
908473,Rucaparib,4.578043134,3.465830667,3.966384347
1240190,KIN001-266,3.397610004,2.77063143,2.648383878
1298146,Gefitinib,1.502329071,1.516178829,2.53099114
908144,HG-5-88-01,3.690049723,3.910931522,3.711505578
1327771,Tipifarnib,0.879104726,1.560830525,1.764547665
907043,NVP-TAE684,0.548807694,-0.155734188,0.712690983
909700,Veliparib,4.248676461,3.953553378,3.826757323
905980,TPCA-1,1.580903554,2.218242456,2.975401503
1240134,Camptothecin,-2.986207017,-2.668714915,-2.824105963
908443,Daporinad,-3.023919404,-1.660881585,-4.456194096
925343,PI-103,1.645263505,2.129447537,0.35929133
1299080,GSK1070916,1.393943804,0.216622555,1.445622995
910931,BIX02189,4.384387257,4.788084381,4.835847467
909758,Linifanib,2.902745085,2.623587083,2.75025737
909249,OSI-930,3.165274535,3.278933801,2.905101748
949175,Motesanib,3.686349167,2.159565125,2.742388807
908475,Y-39983,5.962265991,3.554586039,3.178627978
1298476,JQ1,0.823230384,1.779468779,1.250347127
909749,Elesclomol,-5.001841991,-4.024751892,-3.919660709
1479988,CI-1040,0.896456072,0.442814339,0.661876688
1298476,OSU-03012,2.49626364,2.694875044,3.894653006
908149,HG6-64-1,4.010289668,4.237638659,2.819310506
684052,PF-4708671,4.554249284,3.45749195,3.514903012
924110,Sunitinib,1.512254741,2.601343462,2.564728715
1240192,Nilotinib,3.204675078,2.905138103,2.955778608
1331025,AT-7519,3.161625563,0.87441363,1.148927944
687995,Pictilisib,0.379253944,-1.272138858,0.676884758
724855,Dactolisib,-1.639609959,-1.716538781,-1.636438141
910944,BX-912,-3.60876261,-2.933732937,-1.205122196
688010,JQ1,1.543437421,0.715838974,0.718924203
909757,UNC1215,3.675859141,3.486594803,3.43805918
1331045,FH535,1.977892269,2.419136341,2.027763923
909700,SN-38,-5.750657101,-5.511103522,-5.612563174
906765,KIN001-244,2.829764423,2.345083955,2.558322442
908448,TAK-715,3.233222048,2.785419653,2.783314033
909709,PD173074,2.439937322,3.089809477,2.648259093
753584,Rucaparib,4.180391194,3.658180726,3.370624808
909974,Entinostat,4.708121422,2.919742341,2.971786921
906831,BX-912,0.409005161,1.793009276,1.697735006
907794,WZ3105,-0.947587575,-1.181995747,-1.276040593
905958,Bexarotene,2.865522135,2.631509195,2.996846304
1240193,SL0101,4.185302751,3.947371865,3.998056831
1330972,FMK,5.19075596,5.149553899,2.474005772
908459,Palbociclib,4.725451274,3.87624185,3.452047847
1298157,AZD6482,3.842583126,1.356833971,2.249481879
949153,IPA-3,2.787030555,1.532866089,2.023597635
908159,AZD6482,2.742329117,1.762830769,2.070325106
907060,Ruxolitinib,3.650133337,3.834768849,3.735911561
946370,CHIR-99021,1.38480418,3.420802529,2.698738705
907053,DMOG,5.419841621,5.269221011,5.195531679
906873,PF-4708671,3.759714254,4.168963071,4.046295476
724859,AZ628,-3.004149739,-0.936173576,-0.104572314
910706,XAV939,3.13413607,2.809860271,2.758828462
1240196,PAC-1,2.789231483,1.660186215,1.98495489
907044,WH-4-023,1.326036208,1.968826459,2.206190164
906856,DMOG,4.912648066,4.669144607,5.123162414
1240146,RO-3306,3.191916573,3.144347541,3.480643208
753575,CHIR-99021,3.633327925,3.741659275,3.260414809
687815,YM201636,3.166425355,2.519066827,2.386671915
906872,Quizartinib,1.74600632,2.319068543,1.906751445
905952,IPA-3,0.994066986,1.776146016,2.066196892
906807,Lenalidomide,0.271518392,2.24913258,2.8533399
946358,SL0101,3.091256047,3.786268353,4.098744378
684681,GSK319347A,3.477911945,4.629531341,4.756813271
905956,Masitinib,3.632776465,4.44991031,4.772565873
906794,Lenalidomide,4.178512053,4.018583188,3.970019317
1298351,PI-103,0.738659847,2.005341723,1.615967826
908450,GW-2580,5.586375236,5.576342836,5.641578982
687780,CHIR-99021,3.25207732,2.743572051,2.960198642
684072,BMS-536924,-0.995248352,0.33300854,0.974664429
910700,XMD8-92,3.011582943,3.542495182,3.779612019
1290908,MK-2206,1.604865667,1.950866911,2.617089186
724863,DMOG,7.697638815,7.5037766,6.47242515
1298160,SL0101,5.64340531,5.677657499,5.11707277
688014,ZM447439,3.649856993,3.281439813,3.16844451
908143,Linifanib,2.231002681,2.714675536,2.808827112
905971,NSC-207895,4.676237442,4.445602288,4.233319829
909701,DMOG,5.312356008,5.286448677,4.921602355
949163,XMD11-85h,4.393741201,3.613201715,2.974647636
687506,GSK650394,1.349412471,3.761169913,3.830518552
909776,GSK1904529A,1.799639203,2.491785144,2.441983006
910566,Gefitinib,0.48349589,0.722068263,0.442959143
908459,T0901317,5.671384854,5.425023136,5.063774202
909770,NPK76-II-72-1,2.342623631,3.567517474,3.231917949
910943,Midostaurin,-1.659981439,-1.215654349,0.200131315
1330931,S-Trityl-L-cysteine,-0.636050629,0.197495114,0.182731087
924110,Serdemetan,1.922537454,3.110943791,3.049198916
906847,BAY-61-3606,1.138236985,1.268703751,2.22479341
908451,GW441756,2.791406619,1.700045366,1.841759464
911905,ZSTK474,0.789101875,0.674483511,1.162025677
905979,TAK-715,4.317441953,5.114830329,4.924964666
687798,GSK1070916,4.234530094,4.094817097,3.761835841
688011,TW 37,2.01717122,1.162500498,0.337405851
1480374,VX-702,4.453507698,3.993564826,3.852431296
724878,NU7441,3.001155555,2.921785569,2.90487011
905964,YM201636,1.999550285,1.565158813,1.398977813
753555,FTI-277,2.57316839,2.538384392,2.836040507
909721,KU-55933,3.429548025,3.770560948,4.2179067
1240192,Dactolisib,-3.814279794,-2.44565884,-2.406258051
909263,HG6-64-1,3.515850934,2.694694745,2.816603561
910401,GNF-2,2.121217883,1.872622567,1.741534457
687455,NVP-BHG712,0.71881342,0.812887128,1.841545881
910549,KIN001-260,5.571746188,4.997910201,4.993143817
1330947,BMS-536924,-1.860907626,-0.525904988,0.71170683
908138,VX-11e,4.353667607,3.33062466,3.227045694
924186,Olaparib,4.553616763,3.451458558,3.034532039
909256,BIX02189,4.067771719,3.469006047,3.14917509
1240144,Refametinib,3.011892448,2.722735207,2.836418054
1240196,UNC1215,2.335469387,2.432992608,2.564425841
910853,FH535,0.395790995,1.234847165,0.608936139
1240151,PFI-1,2.253533945,3.30618134,2.758887416
1298353,GSK690693,5.574852297,5.587837035,5.419707748
905984,JW-7-24-1,1.317577619,0.592577545,-0.078194952
906835,Alectinib,4.628191624,3.98314407,4.125577277
753539,Tubastatin A,3.243752605,3.337983767,3.841326926
908443,PF-562271,2.80079004,1.642626936,1.645906835
724859,Navitoclax,0.857633396,2.638955751,2.415863197
907280,BAY-61-3606,1.133954878,2.239523908,1.994781076
905962,EHT-1864,3.748448008,3.710657631,3.171966732
946354,VX-11e,3.978706596,3.284365868,3.319631565
908463,TAK-715,5.560365719,6.252371891,5.58929687
753574,Idelalisib,4.74729352,4.992846102,4.588046549
908452,Lapatinib,2.592103494,2.904971559,2.534055736
910853,Bosutinib,-0.62412914,-1.182552489,0.093462207
908455,Midostaurin,0.057677106,-0.155071945,-0.594616193
909769,GW843682X,-3.312158691,-2.932984475,-0.927620171
910554,JNK Inhibitor VIII,5.254790439,4.843937106,5.469638355
949161,Trametinib,1.117884542,1.851416036,1.774189867
908459,Amuvatinib,6.340815793,5.353941266,4.322394286
907068,Cabozantinib,3.252396651,3.230654626,3.794789826
909770,Selisistat,4.583165942,5.036766653,4.936713348
907061,AKT inhibitor VIII,2.305467004,1.663441059,1.631636666
724868,VX-11e,0.994783024,1.685206542,2.99851223
1290809,Quizartinib,3.223083286,3.11854952,2.851156412
906834,AS601245,2.47836022,2.406753664,2.203356961
949178,AZ628,-0.659532517,2.002676537,1.90669851
1290724,Trametinib,-0.519889036,-0.96813174,-1.677542684
907786,Daporinad,0.137215723,-2.576862032,-2.365269451
907047,Tivozanib,-0.220110229,0.228435594,0.425734179
688087,SN-38,-3.094445515,-3.15108097,-3.165739741
946367,(5Z)-7-Oxozeaenol,0.732330336,-0.129134769,0.223939781
910691,MK-2206,-0.964945061,-1.082477936,1.331115537
924111,VX-11e,3.258602728,3.268718154,3.255022044
905954,Ponatinib,0.698974977,1.824640862,1.85969887
908449,OSI-027,0.407821793,-0.615202117,0.220895819
905942,FR-180204,5.569504729,4.956959675,4.952316847
930298,NVP-BHG712,5.870172136,5.720839658,5.640937618
1297449,Vorinostat,-0.116525981,0.312060912,-0.258333914
909696,WZ3105,-2.769378757,-2.629303319,-1.315062114
906841,Imatinib,3.279883688,3.277304721,3.284982177
905951,Daporinad,-1.337324403,-0.164043797,-3.114183431
1331025,GSK269962A,4.354209242,3.457263752,2.756279218
688023,XMD8-85,3.128784818,2.593333656,2.892593304
907269,Seliciclib,4.600016797,4.970543037,4.64519232
688058,Ispinesib Mesylate,0.754249958,0.712816996,1.085435837
909907,Serdemetan,4.681742218,4.145238737,4.211778246
753612,Imatinib,3.490283568,2.965205753,2.847236746
949172,GW-2580,6.321404147,5.128111063,5.289621354
1240189,BAY-61-3606,2.181221421,1.192938276,1.489177175
753584,Ponatinib,0.278738959,-0.207557938,-0.003685063
909706,Enzastaurin,1.523691093,3.744912276,3.024809145
1240125,AZD8055,1.465480721,0.946159709,0.944154064
906836,GW843682X,-3.871697058,-3.536623753,-2.099914043
905955,Dabrafenib,0.904942909,1.411876332,1.879799656
753535,Embelin,1.754534916,2.211841342,2.3196286
684059,PHA-665752,2.4637803,1.853190289,1.937728157
909751,CHIR-99021,2.146114654,2.64601002,2.82905649
910701,KIN001-260,4.162802192,4.694075521,4.284718377
687457,MK-2206,1.928610886,1.15969763,1.915432215
905969,JQ1,0.038672608,0.412681521,0.145708825
906790,PFI-1,1.891326526,1.282058668,1.949898478
910700,WZ3105,0.663779165,2.315735218,1.868256083
907282,QL-XII-47,2.949021071,3.202058037,2.873337149
909907,Nutlin-3a (-),5.669560982,5.340616808,5.090700444
971773,Ispinesib Mesylate,-4.395082234,-3.975077854,-3.323782833
917486,QL-XII-47,0.531896042,0.976226941,1.017970514
688026,OSI-027,-2.010021116,-1.446506893,-0.753017305
1240204,Pelitinib,0.350141389,0.556753511,0.800062546
910904,KIN001-266,4.899279148,4.332299445,4.092940412
910705,GW441756,2.027737394,2.029988801,2.299651985
907313,Entinostat,-0.072144488,0.132250862,0.145367509
753549,Midostaurin,1.953360273,1.398907437,0.973209999
753582,Vismodegib,4.985634869,4.477841217,4.705211087
905985,MPS-1-IN-1,4.188979972,4.374251443,4.752740817
1297447,Belinostat,-0.908882805,-1.313359588,-1.039341834
946373,WZ-1-84,5.680826,4.713956092,4.3697587
1479987,Dabrafenib,-0.063954874,2.107249605,1.921633133
1240226,Olaparib,3.525251549,3.431789974,3.391815864
1240140,(5Z)-7-Oxozeaenol,0.303297362,0.333919984,-1.079471679
910544,Bryostatin 1,-2.833245587,-3.137773769,-3.311543241
907067,Navitoclax,3.521903486,2.486050695,2.452191529
907322,XMD8-85,3.898287976,3.425345627,3.342209255
724874,Navitoclax,2.307584415,2.913526193,2.834075884
1240197,Motesanib,3.555409913,2.014356316,2.521506516
1330964,Serdemetan,3.167764089,2.614808426,2.988427755
1479995,TAK-715,3.932237783,3.960686252,4.477496094
908125,AZD7762,-1.888298249,-1.147541275,-0.503987453
909709,AT-7519,-0.646156844,-0.790534163,-0.017313377
1503363,NU7441,2.751081245,3.443967788,3.574026179
906839,HG6-64-1,-0.272325159,1.929442375,1.637862271
910916,SB-505124,2.659516742,3.607513692,4.151911774
908159,Crizotinib,1.389495891,2.046314848,2.072410338
910916,AZD7762,-0.277487269,-1.278002637,-1.320351342
906805,GSK650394,2.710935187,2.386379113,2.123168505
908450,KU-55933,5.2389639,4.578764577,4.316766936
924110,VX-702,2.28008878,2.303616849,2.926466226
998189,CAY10603,1.254234,0.910642601,1.661758552
687452,MK-2206,1.921660522,1.619885159,1.849150996
905976,Midostaurin,0.616714062,0.563121832,0.016116903
908151,Palbociclib,2.711600869,3.288555983,2.913814083
925339,AR-42,1.147210188,0.31322168,0.31355403
910921,Parthenolide,2.508088715,3.686613474,3.670898946
949172,Fedratinib,1.651483092,1.957721967,3.16395275
909779,NPK76-II-72-1,1.869158808,1.010131673,0.407169253
905938,S-Trityl-L-cysteine,0.328419506,0.049465385,1.052277357
687514,DMOG,5.461549945,6.327924642,6.188515255
905980,Amuvatinib,4.431542632,4.232157464,3.683281132
1503368,Y-39983,4.961681353,4.159273584,3.757933615
753595,EHT-1864,5.088674411,4.25086044,4.172884948
687798,CAY10603,0.869780873,1.345528791,2.463099633
909975,AKT inhibitor VIII,0.267636677,0.764397318,1.20182047
924239,GW441756,2.226056733,1.788867183,2.434442862
753541,XMD8-92,2.742121551,2.227718729,2.357583064
1240223,Palbociclib,-0.778313853,-0.21611466,-0.662239216
905950,Idelalisib,4.124530362,4.277466614,4.066426844
1503371,SGC0946,1.784875054,1.599756247,0.948022023
905946,AS605240,4.505537784,4.727233878,4.425695434
1298222,HG-5-113-01,1.272717743,1.359455679,0.825427996
1240128,OSI-930,3.701962,3.855245586,3.231557105
687588,Midostaurin,1.333229754,0.26632263,-0.193658684
910942,PD173074,-0.851955285,1.618571112,1.894633322
1322218,PHA-665752,3.006284503,3.137540876,2.999690808
910935,AR-42,-2.149809525,-2.286451171,-1.633947605
946370,KIN001-270,5.035166804,5.71968196,5.332635988
